numTokens,numLexTokens,avgLexVal,avgLexAro
4,2,-0.35932364651517934,-0.20432938956115076
5,3,-0.12855313688010073,-0.04671643242737552
6,3,0.6867945677835219,0.6450675664457932
4,2,-0.3389002816182922,-0.10237021372484278
3,2,-0.19240028161829215,0.04412978627515718
5,3,-0.8124589983449982,-0.7811511218823162
4,2,1.750402215376031,2.014264898200705
5,3,1.715331810545697,2.0130588527410755
7,3,-1.519255655359699,-1.5587866975289275
5,3,-1.3857350139373514,-1.5509149483712894
4,2,-1.3608176081200352,-1.5578679539360691
4,2,-1.0228224016819263,-1.102053015325047
6,3,-0.4144866786016199,-0.4812764027136242
5,2,0.7568885772446253,0.8155192313405347
5,2,-1.0228224016819263,-1.102053015325047
