numTokens,numLexTokens,avgLexVal,avgLexAro
264,75,0.33788089024635215,0.3583482158745449
36,12,0.1599934887195802,0.17517982215744496
419,146,0.16195546677797057,0.1368141426190887
129,46,0.19383601479910328,0.22185946820952682
142,60,0.026715348572786495,0.04003229219629054
162,66,0.44447432488301486,0.5229732270376451
343,107,0.05563887011371454,0.07662498662407295
87,24,-0.17166264414571353,-0.16321058107302053
82,32,0.4622522900866863,0.5103561221091706
186,57,0.233582725625265,0.26088433123420124
45,16,-0.011038903823502394,-0.041102338413389214
375,129,0.5154901752567481,0.5459151646192282
152,46,0.341825406436389,0.3981775113821248
550,186,0.1944612032335724,0.22786391396563985
970,310,0.6104759952213757,0.6510763041062331
21,6,-0.5647858147101827,-0.47494970412230125
151,44,0.22200427053778785,0.22707063047943093
189,69,0.07801428491143597,0.10006148184687459
381,115,0.14071074233593586,0.16592180962800984
382,115,0.14071074233593586,0.16592180962800984
232,80,0.44692804764173166,0.48479165310485384
109,34,0.2556134042830413,0.28554281913538243
168,56,-0.02571362384264778,-0.03321885875420015
134,38,-0.025492734864368087,0.014836528925961054
244,86,0.10586218118760524,0.1740334756689709
196,64,0.19002073738126862,0.2798056757410592
73,22,0.07040082159059756,0.0773494468348756
81,26,0.10078562852111175,0.12305211271727842
1450,437,0.31874466658181183,0.3426817475845563
3294,1096,0.2842790303121283,0.3094625327962888
111,46,0.09266368395286781,0.10988270370267002
881,301,0.40907569100771435,0.4363111093790542
75,31,-0.6467850279420256,-0.5519342043487676
114,46,0.017302460524638345,-0.008387840671618518
264,74,0.1687378339997949,0.16214505977324611
200,58,0.4095866174587935,0.44667583591429744
663,182,0.28994179867096326,0.3232323123320798
299,91,0.184230023940148,0.26273942898761193
259,76,-0.05383519027560347,-0.04430358075256117
184,55,0.28728837693011194,0.2448363086119703
443,143,0.15699676046713357,0.2293269577973915
252,83,0.24714142024866373,0.2612879928981136
35,15,-0.07947646471922493,-0.038356533239059805
715,217,-0.09461321634305757,-0.07024157966174373
273,98,0.20742461335685658,0.22628118351228124
68,24,0.21343575267032722,0.259646735489631
284,103,0.07526943847053143,0.12599380367503524
276,91,0.05124431057165265,0.08198106377494609
726,230,0.22221755630687173,0.2467201083486459
68,15,0.44897524852982634,0.39140007114503883
240,84,-0.2509223986051384,-0.2147090426315682
2108,679,0.29405391762003885,0.3208815866138621
91,24,0.3646238867986324,0.41010390564235416
16,10,-0.8392283205937294,-0.7146937672202025
203,55,0.2739478435780574,0.35171464273677044
200,56,0.2973080208683726,0.3201858488747061
443,171,0.23538368077776273,0.27710533124135833
279,106,0.04877399980497356,0.07813457937978953
118,39,0.14446750062757724,0.15924824147615133
640,196,0.16538941397371187,0.20498601363987018
95,28,0.525771280020771,0.5627333684692918
120,31,-0.2675138168481548,-0.2890685934917544
183,57,0.15024248052782707,0.19763484720852448
24,12,0.04756018472035104,0.04922120891557572
83,25,-0.06574600099038384,-0.07823190420384339
1683,577,0.2626002730751261,0.2989454911987088
94,33,0.15963095659955906,0.11989106706999073
323,94,0.11993536502662049,0.15971496814485725
693,220,0.32209984814837134,0.34242980716864896
17,6,-0.1753597867525936,-0.1673669879340435
64,32,0.001859983279901183,-0.006924586490259413
256,67,0.42953156193098796,0.4777413324499243
203,51,0.33618700643663224,0.36644344379706867
211,54,0.38519614665148927,0.4201082899955471
331,106,0.04354856569364514,0.10617055670434533
95,27,0.19892545744610554,0.263523423596417
267,91,0.13642918435427911,0.1671095730625449
296,96,-0.013412488442706526,0.019197162730577217
227,71,0.16759066301224268,0.23540062162397937
403,109,0.15685687358525058,0.15962457427759744
117,30,0.2626607589157764,0.32025862383978887
811,284,0.01573839353836427,0.06008698953258184
191,67,0.31408837178033916,0.32674150268400165
165,59,-0.2071106239891499,-0.19159548581970337
235,82,0.27583477005410206,0.2897772349825357
240,88,0.2146765430482197,0.20607785696284386
171,64,-0.07499789644599103,-0.045630093362527956
160,48,0.13672479608695184,0.17445567994484676
237,72,-0.11018319635395511,-0.08814698508504921
971,310,0.27952444246450986,0.33947874603675676
128,47,-0.029251702909122716,0.0198777339432922
344,95,0.19122196410306094,0.20128416460300408
47,22,-0.46952013799408543,-0.4106205599896828
146,51,0.19808601177372237,0.20358135825516546
655,205,0.20945502753403272,0.2218633905920994
103,36,0.3871201658156431,0.4823420925245969
164,57,0.3579630134011704,0.42908109138870437
267,75,-0.16398537623385961,-0.13116187416218153
644,204,0.37907914887179867,0.41342277650950077
548,223,-0.037311763053381575,-0.01704852832278432
334,108,0.012226170124824867,0.018549378485888026
57,25,-0.7305021384288733,-0.6624205840400818
91,27,0.5255989116303575,0.5409773898532927
213,70,0.23950151157452285,0.25934113949011955
102,40,0.5536417333825692,0.6097742050824486
379,128,0.2392081982304721,0.2569914172561447
204,73,0.20040286817547595,0.23112130770365244
436,152,-0.03114019289579346,-0.006423123091663697
460,148,0.06469960095744526,0.097963679203026
60,21,0.03005380586003264,0.059580188806154434
45,16,0.05711537320153355,0.1771285215757691
190,64,0.21660220434591246,0.24459418728484308
162,51,0.5256943714405139,0.5766178587990672
66,19,0.022576798677029237,0.12169756001862173
115,39,0.7162217359599782,0.7595379527790562
216,79,0.36615384359012443,0.4298328842920988
121,43,0.33266769923154854,0.4243559125328055
113,40,0.4898667738665097,0.5373863274743566
669,206,0.26869912873317764,0.30188591075838567
