numTokens,numLexTokens,avgLexVal,avgLexAro
154,64,0.7328123599700415,0.7715014981065534
227,72,0.520793855953674,0.5620855923916346
297,118,0.537433742788143,0.5221630444744376
12,7,0.7975480074229678,0.7836612155291093
70,36,0.6344886093061015,0.702140623195889
83,42,0.46423222261132924,0.47140208106110215
248,89,0.593681763190509,0.5790783384986887
49,17,0.26854305432692055,0.16855226595468467
89,27,0.49005219714255605,0.5418027759203745
65,27,0.4711221319877748,0.43166834381477276
281,94,0.36819312264796705,0.36156291557064085
279,93,0.5512607927935993,0.563277071500289
74,22,0.2862398215140691,0.30933006165979393
34,9,-0.20718158998575337,-0.1777743960942123
189,72,0.5475101634513594,0.58667392497297
238,80,0.6656220256027335,0.676960964624543
76,32,0.18042421306893872,0.1895514803675845
65,28,0.5831658325550648,0.5776938739364049
60,20,0.08082105021644441,0.07395392376892487
82,29,0.48804711783915633,0.4528244407001823
237,70,0.6823028413133143,0.7126794373485064
93,39,0.36085693414507003,0.358351027555781
79,29,0.7239708093472313,0.7080317250496104
130,53,0.31892423341216986,0.2896035201992062
58,22,0.6788891003056102,0.6763055930287153
190,68,0.43592034704949234,0.4708600847429306
93,35,0.18629054263389133,0.23011922647262203
67,22,0.24258482158544545,0.17735662228784912
461,154,0.4269466871548631,0.4339824865310902
86,22,0.05436377956493979,0.03257302752054015
29,11,0.13904769434106504,0.14956209685338723
180,75,0.4067808050946615,0.39301315422914196
57,24,0.8470067822072306,0.8786603121724035
33,12,0.4590645174931693,0.3705369388444244
112,39,0.4960397072958273,0.4834116051519601
116,38,0.538862002607666,0.550628886402738
354,133,0.5760541557564407,0.6117525950682207
93,39,0.6651458977641926,0.6845318593879617
22,6,1.1422138442007992,1.208477688723738
451,146,0.7606179475970309,0.7999996177904197
172,51,0.5058770524394678,0.5487980823407865
108,49,0.4848544649189214,0.4420427834579198
39,15,0.31501583593400395,0.33818852850024633
363,120,0.5031899994090027,0.4803679862415265
85,25,0.6483761113586316,0.7415822764078834
61,20,0.323138134925092,0.31474301869470966
466,159,0.5013870742827119,0.5358361291443869
117,36,0.7514342067755775,0.7922639857379267
226,90,0.7019217116665268,0.7491538452767009
128,44,0.11672517202605638,0.17534744750890685
102,36,0.211516815124012,0.29483386910092024
76,24,0.616480692469268,0.6306482306176856
358,153,0.5734261871625725,0.6035982935160633
140,48,0.8175440355095742,0.8544233631569987
84,35,0.7510479272016923,0.7566021321775247
110,38,0.4431037152942039,0.3573004560591989
135,64,1.1034569061285453,1.195376137555068
67,21,0.5234653074292792,0.5262994693646077
