date,year,month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2022-02-28 20:34:46,2022,2,9.065,7.343999999999999,4.460000000000001,31.108999999999995,7.957,15.110000000000001,2.767,9.676
2022-02-27 07:15:35,2022,2,0.9789999999999999,2.586,2.9840000000000004,4.417,3.815,3.0069999999999997,0.93,6.444
2022-02-27 07:15:34,2022,2,0.9789999999999999,2.586,2.9840000000000004,4.417,3.815,3.0069999999999997,0.93,6.444
2022-02-26 12:45:28,2022,2,3.378,6.9350000000000005,0.531,9.469000000000001,6.721,5.199000000000001,1.532,4.882000000000001
2022-02-22 14:58:04,2022,2,5.703999999999999,3.8040000000000003,2.4840000000000004,8.883000000000001,0.8280000000000001,5.1,0.695,2.78
2022-02-19 02:53:43,2022,2,5.128,4.258,2.258,13.438,6.385,1.029,0.866,6.586999999999999
2022-02-09 12:25:23,2022,2,10.553999999999998,16.292,7.515999999999999,26.764000000000003,23.835000000000004,9.536999999999997,5.815,29.547000000000008
2022-02-08 22:03:24,2022,2,4.377,10.665,4.539,13.084,5.207,2.891,2.437,10.997
2022-02-01 05:46:45,2022,2,11.334999999999999,7.079,4.712,26.214,4.138000000000001,7.111999999999999,3.1100000000000003,7.2410000000000005
2022-01-31 23:47:49,2022,1,8.752,3.8680000000000003,3.64,13.212000000000002,4.694000000000001,4.888,1.718,7.671
2022-01-22 19:38:36,2022,1,2.001,1.664,0.0,4.861,1.556,1.9370000000000003,1.789,0.484
2022-01-20 08:48:36,2022,1,9.334,14.994999999999997,4.229,19.474,12.045000000000002,9.128,5.053,10.419
2022-01-20 07:02:01,2022,1,2.405,0.812,0.18,3.734,0.297,0.0,0.0,2.445
2022-01-17 14:06:15,2022,1,3.689,3.2880000000000003,0.6639999999999999,5.781,0.9390000000000001,3.021,0.609,0.9990000000000001
2022-01-14 08:18:56,2022,1,3.1020000000000003,1.109,1.7189999999999999,7.431,0.333,2.61,2.57,1.773
2022-01-05 22:01:24,2022,1,3.458,6.36,2.016,6.5360000000000005,2.107,0.966,2.141,6.813000000000001
2022-01-03 19:05:55,2022,1,3.452,2.461,2.063,6.436,0.938,2.227,0.359,3.501
2022-01-01 08:10:43,2022,1,12.493000000000002,4.199,5.602,15.708,6.034000000000001,10.713000000000001,2.061,7.861999999999999
2021-12-31 14:11:18,2021,12,4.271999999999999,5.907,1.15,12.066,3.318,1.453,1.032,2.86
2021-12-30 02:52:36,2021,12,7.215000000000001,3.818,5.155,10.299000000000001,2.755,8.396,2.016,9.389
2021-12-30 01:07:13,2021,12,4.739000000000001,3.649,1.4919999999999998,9.765,2.4890000000000003,2.764,1.1019999999999999,6.438000000000001
2021-12-29 12:11:21,2021,12,5.346,9.73,1.9469999999999998,12.072000000000001,7.419999999999999,3.0489999999999995,3.384,8.768
2021-12-28 21:11:55,2021,12,4.403,1.5310000000000001,2.8440000000000003,12.829,0.883,7.899999999999999,0.57,5.015000000000001
2021-12-28 10:13:33,2021,12,4.2989999999999995,0.391,0.82,5.566000000000001,0.781,0.531,0.758,2.601
2021-12-21 14:32:08,2021,12,13.185,14.223999999999998,6.314,28.952999999999996,17.832,12.55,7.311000000000001,26.186
2021-12-21 02:02:11,2021,12,12.736000000000002,5.151,6.454000000000001,26.056000000000004,6.092999999999999,14.271999999999998,1.7730000000000001,11.387
2021-12-20 23:38:15,2021,12,15.934999999999999,8.638000000000002,8.164,29.092000000000002,7.0920000000000005,16.907,5.446000000000001,16.654
2021-12-19 05:34:48,2021,12,5.305000000000001,2.501,3.141,13.888000000000002,1.2429999999999999,5.1739999999999995,2.7270000000000003,2.635
2021-12-18 20:39:59,2021,12,5.667000000000001,2.813,4.312,9.315,3.6310000000000007,4.881,1.079,5.702000000000001
2021-12-18 07:13:21,2021,12,1.4269999999999998,2.9779999999999998,0.633,4.9830000000000005,0.64,0.0,0.516,2.0
2021-12-13 01:35:41,2021,12,35.46800000000001,12.998000000000001,20.528999999999996,37.439000000000014,16.855,30.818,5.208,42.334999999999994
2021-12-12 04:02:46,2021,12,4.112,9.547999999999998,2.064,8.481000000000002,5.727,4.327,1.843,7.164
2021-12-09 00:12:19,2021,12,3.9589999999999996,2.8609999999999998,1.063,10.015,0.85,0.75,1.9060000000000001,3.3590000000000004
2021-12-08 03:29:22,2021,12,9.133000000000001,12.176000000000002,5.813000000000001,18.28,8.526,9.215,3.6559999999999997,15.860999999999997
2021-12-07 23:07:46,2021,12,7.512,5.625,2.266,13.88,2.601,3.554,4.021000000000001,8.139
2021-12-03 02:11:45,2021,12,1.222,6.008,0.985,7.030000000000001,2.7640000000000002,1.718,0.907,5.881999999999999
2021-11-26 05:43:24,2021,11,10.799999999999999,11.575,5.9079999999999995,25.224000000000007,8.895,10.949,2.905,13.325000000000003
2021-11-23 04:12:25,2021,11,11.84,12.91,5.455,26.014999999999997,6.947000000000001,6.822000000000001,6.564,9.905999999999999
2021-11-19 01:11:22,2021,11,5.898000000000001,4.805,4.259,10.679,3.4509999999999996,6.439,1.086,7.452000000000001
2021-11-16 17:13:51,2021,11,8.419,10.306,4.709,16.266,8.921,4.8020000000000005,3.0,8.516
2021-11-14 22:00:01,2021,11,1.8159999999999998,5.814,1.008,5.267,1.906,0.448,1.329,6.431
2021-11-14 16:39:13,2021,11,0.853,1.3679999999999999,1.571,6.297000000000001,1.2819999999999998,4.002,1.718,3.102
2021-11-04 13:19:57,2021,11,22.687999999999995,10.858,11.625,45.68099999999999,10.903999999999998,15.938999999999998,7.954999999999999,20.775000000000002
