date,year,month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2022-02-28 23:51:46,2022,2,20.064000000000004,17.135,12.536,24.241000000000007,24.542999999999996,15.874999999999998,5.515,32.437
2022-02-28 21:52:25,2022,2,0.152,0.0,0.266,0.515,0.46,0.8900000000000001,0.0,3.772
2022-02-28 19:43:01,2022,2,4.036,1.977,2.109,5.399,8.065999999999999,2.8169999999999997,2.148,11.685
2022-02-28 19:27:22,2022,2,3.224,7.861999999999999,3.782,4.819999999999999,5.811,3.072,2.18,7.210000000000001
2022-02-28 15:16:47,2022,2,0.348,0.516,1.078,3.281,0.0,3.945,0.75,2.937
2022-02-28 12:32:44,2022,2,5.968000000000001,6.9110000000000005,3.234,9.085,7.107000000000001,7.450000000000001,3.297,7.2410000000000005
2022-02-28 07:56:39,2022,2,3.2099999999999995,6.570000000000002,3.226,9.033999999999999,5.638999999999999,4.729,1.757,6.15
2022-02-28 07:46:29,2022,2,5.75,8.111,4.265,11.431,9.079,7.753000000000001,2.132,13.573000000000002
2022-02-28 07:39:25,2022,2,12.188000000000002,19.484,8.313,21.148000000000003,13.23,14.028999999999998,5.102,38.71900000000001
2022-02-28 07:22:20,2022,2,6.413999999999999,6.734000000000001,3.4530000000000003,9.871000000000002,8.315999999999999,8.486,2.39,17.854999999999997
2022-02-28 06:10:07,2022,2,4.752,2.805,2.117,10.901000000000002,4.605,7.688000000000001,3.062,5.929
2022-02-28 02:45:44,2022,2,5.152,1.8129999999999997,2.835,6.5600000000000005,2.521,3.152,3.0140000000000002,4.57
2022-02-28 02:10:59,2022,2,3.068,5.173,1.781,4.988,1.647,2.25,1.461,5.313
2022-02-28 02:00:06,2022,2,11.336000000000002,6.492999999999999,4.968999999999999,9.501999999999999,5.5040000000000004,6.323999999999999,2.281,10.873999999999999
2022-02-28 01:50:41,2022,2,2.6710000000000003,3.407,1.6249999999999998,6.37,3.7569999999999997,4.215,1.398,8.433
2022-02-27 23:28:15,2022,2,13.099,16.029,10.25,15.222000000000003,19.482,17.42,5.359,24.965999999999994
