numTokens,NVnum,NVscore,PVnum,PVscore,NAnum,NAscore,PAnum,PAscore
154,3,-1.70276,61,41.550999999999995,3,-1.5377999999999998,61,39.71799999999998
227,2,-1.02268,70,44.794,2,-0.96126,70,43.513000000000005
297,8,-4.00858,110,70.14100000000003,8,-3.8302400000000008,110,66.81100000000002
12,0,0.0,7,4.704000000000001,0,0.0,7,4.438000000000001
70,0,0.0,36,22.926000000000005,0,0.0,36,22.321999999999996
83,0,0.0,42,26.146999999999995,0,0.0,42,25.413999999999998
248,3,-1.8862599999999998,86,55.98699999999999,3,-1.8204,86,53.35100000000001
49,2,-1.0915,15,8.836000000000002,2,-1.03452,15,8.283999999999999
89,3,-1.50072,24,16.060000000000002,3,-1.41488,24,15.635000000000002
65,1,-0.46916,26,16.302,1,-0.43882,26,15.547
281,7,-4.03078,87,52.92399999999999,7,-3.8502200000000006,87,51.218999999999994
279,0,0.0,93,58.95800000000002,0,0.0,93,56.871
74,0,0.0,22,12.358,0,0.0,22,12.163000000000002
34,0,0.0,9,4.454,0,0.0,9,4.568999999999999
189,4,-1.50738,68,42.88499999999999,4,-1.5266199999999999,68,41.61199999999999
238,4,-1.5799,76,50.503000000000014,4,-1.5532599999999999,76,48.30500000000001
76,1,-0.5129999999999999,31,17.757999999999992,1,-0.38799999999999996,31,17.424
65,1,-0.30857999999999997,27,16.959999999999997,1,-0.3034,27,16.199
60,2,-0.8894799999999999,18,9.498000000000001,2,-0.8288,18,9.341000000000001
82,1,-0.44695999999999997,28,17.968000000000004,1,-0.41957999999999995,28,17.081000000000007
237,4,-1.61098,66,43.661000000000016,4,-1.53994,66,41.733
93,3,-1.5170000000000001,36,21.442000000000004,3,-1.44004,36,20.719
79,1,-0.60236,28,18.990000000000002,1,-0.5772,28,17.961
130,1,-0.10804,52,29.613000000000007,1,-0.1961,52,28.691999999999997
58,0,0.0,22,14.221000000000002,0,0.0,22,13.544
190,1,-0.6215999999999999,67,40.96,1,-0.5964400000000001,67,40.02899999999999
