문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
87,1.0,0.9424,"[(1, 0.9423604), (3, 0.0499557)]"
88,1.0,0.929,"[(1, 0.9290488), (3, 0.06442406)]"
89,1.0,0.9445,"[(0, 0.013854116), (1, 0.944482), (2, 0.013509956), (3, 0.014350596), (4, 0.013803262)]"
90,1.0,0.7873,"[(0, 0.010198288), (1, 0.7872673), (2, 0.010195894), (3, 0.18219815), (4, 0.010140369)]"
91,1.0,0.8381,"[(0, 0.040483303), (1, 0.83807075), (2, 0.040046625), (3, 0.040292088), (4, 0.0411072)]"
92,1.0,0.9901,"[(1, 0.9900854)]"
93,1.0,0.7305,"[(0, 0.06734263), (1, 0.7305436), (2, 0.06694512), (3, 0.06793926), (4, 0.06722932)]"
94,1.0,0.9615,"[(1, 0.96149474)]"
95,1.0,0.9791,"[(1, 0.979142)]"
96,1.0,0.9902,"[(1, 0.99020046)]"
97,1.0,0.9942,"[(1, 0.9941604)]"
98,1.0,0.9792,"[(1, 0.97922194)]"
99,1.0,0.9871,"[(1, 0.9870768)]"
100,1.0,0.9676,"[(1, 0.9675904)]"
101,1.0,0.9966,"[(1, 0.9966463)]"
102,1.0,0.9753,"[(1, 0.9753196)]"
103,1.0,0.5488,"[(0, 0.35036638), (1, 0.54882646), (2, 0.03348391), (3, 0.03381705), (4, 0.03350618)]"
104,1.0,0.9873,"[(1, 0.9873464)]"
105,1.0,0.9862,"[(1, 0.9861924)]"
106,1.0,0.9697,"[(1, 0.9696585)]"
107,1.0,0.973,"[(1, 0.97297996)]"
108,1.0,0.9801,"[(1, 0.980098)]"
109,1.0,0.8367,"[(0, 0.016860133), (1, 0.8366791), (2, 0.016794227), (3, 0.016790668), (4, 0.11287582)]"
110,1.0,0.955,"[(0, 0.011229332), (1, 0.95497537), (2, 0.01122776), (3, 0.011296053), (4, 0.01127155)]"
111,1.0,0.7401,"[(0, 0.23521465), (1, 0.740144)]"
112,1.0,0.9958,"[(1, 0.9957781)]"
113,1.0,0.8958,"[(1, 0.8957863), (3, 0.0872081)]"
114,1.0,0.9724,"[(1, 0.9724159), (2, 0.02117374)]"
115,1.0,0.9855,"[(1, 0.9855267)]"
116,1.0,0.9274,"[(1, 0.9273674), (3, 0.05418157)]"
117,1.0,0.9824,"[(1, 0.98235506)]"
118,1.0,0.9846,"[(1, 0.98464304)]"
119,1.0,0.9869,"[(1, 0.98689985)]"
120,1.0,0.9687,"[(1, 0.96872544)]"
121,1.0,0.9209,"[(1, 0.92090696), (3, 0.061191387), (4, 0.013059712)]"
122,1.0,0.8422,"[(1, 0.8422372), (3, 0.14607154)]"
123,1.0,0.9548,"[(0, 0.011315682), (1, 0.95483184), (2, 0.011221025), (3, 0.011373675), (4, 0.011257769)]"
124,1.0,0.9896,"[(1, 0.98959106)]"
125,1.0,0.977,"[(1, 0.97696674)]"
126,1.0,0.9723,"[(1, 0.9723417), (4, 0.019875694)]"
127,1.0,0.9903,"[(1, 0.99031967)]"
128,1.0,0.7132,"[(1, 0.71322227), (3, 0.26827118)]"
129,1.0,0.9882,"[(1, 0.9881734)]"
130,1.0,0.9816,"[(1, 0.9816016), (4, 0.015030854)]"
131,1.0,0.9662,"[(1, 0.9661985)]"
132,1.0,0.9856,"[(1, 0.9855563)]"
133,1.0,0.9099,"[(0, 0.02240647), (1, 0.90988404), (2, 0.022403603), (3, 0.022607345), (4, 0.022698527)]"
134,1.0,0.9901,"[(1, 0.9901123)]"
135,1.0,0.9874,"[(1, 0.9874482)]"
136,1.0,0.9663,"[(1, 0.9663288)]"
137,1.0,0.9823,"[(1, 0.9822916)]"
138,1.0,0.885,"[(1, 0.8850437), (4, 0.0873247)]"
139,1.0,0.979,"[(1, 0.9790152), (4, 0.014962674)]"
140,1.0,0.8401,"[(0, 0.016857605), (1, 0.8401477), (2, 0.01668611), (3, 0.10937616), (4, 0.01693246)]"
141,1.0,0.9929,"[(1, 0.9928912)]"
142,1.0,0.9638,"[(1, 0.9637531), (4, 0.027144741)]"
143,1.0,0.9852,"[(1, 0.98515314)]"
144,1.0,0.982,"[(1, 0.98201126)]"
145,1.0,0.6394,"[(0, 0.013538228), (1, 0.639413), (2, 0.013392419), (3, 0.013477021), (4, 0.3201793)]"
146,1.0,0.9974,"[(1, 0.9973658)]"
147,1.0,0.9851,"[(1, 0.985053)]"
148,1.0,0.9941,"[(1, 0.9941082)]"
149,1.0,0.986,"[(1, 0.98595476)]"
150,1.0,0.9263,"[(0, 0.018359885), (1, 0.9262968), (2, 0.018222876), (3, 0.018306715), (4, 0.018813767)]"
151,1.0,0.978,"[(1, 0.9780252)]"
152,3.0,0.6065,"[(1, 0.3730633), (3, 0.60648996)]"
153,1.0,0.9946,"[(1, 0.99460435)]"
154,1.0,0.9964,"[(1, 0.9964222)]"
155,1.0,0.9775,"[(1, 0.9774668)]"
156,1.0,0.8583,"[(0, 0.12199239), (1, 0.858308)]"
157,1.0,0.8031,"[(0, 0.018412448), (1, 0.80313814), (2, 0.01830009), (3, 0.14160375), (4, 0.018545596)]"
158,1.0,0.9553,"[(1, 0.95533663), (3, 0.04150466)]"
159,1.0,0.9721,"[(1, 0.9720762)]"
160,1.0,0.9763,"[(1, 0.9762589), (3, 0.018375438)]"
161,1.0,0.9185,"[(1, 0.9184947), (3, 0.06197491)]"
162,1.0,0.9819,"[(1, 0.98190665)]"
163,1.0,0.9494,"[(0, 0.012618301), (1, 0.9493719), (2, 0.012668878), (3, 0.012635071), (4, 0.012705906)]"
164,1.0,0.948,"[(0, 0.034984384), (1, 0.9480163)]"
165,1.0,0.9664,"[(1, 0.96635646)]"
166,1.0,0.9928,"[(1, 0.99283457)]"
167,1.0,0.9648,"[(1, 0.9648095)]"
168,1.0,0.9873,"[(1, 0.98731786)]"
169,1.0,0.9964,"[(1, 0.99635124)]"
170,1.0,0.9882,"[(1, 0.98823965)]"
171,1.0,0.9194,"[(0, 0.020175667), (1, 0.9194106), (2, 0.020094171), (3, 0.020142762), (4, 0.020176794)]"
172,1.0,0.9379,"[(0, 0.0155592915), (1, 0.93794334), (2, 0.015484575), (3, 0.015546261), (4, 0.015466573)]"
173,1.0,0.9862,"[(1, 0.9862125)]"
174,1.0,0.9903,"[(1, 0.99025536)]"
175,1.0,0.9689,"[(1, 0.96888375)]"
176,1.0,0.899,"[(0, 0.025101), (1, 0.8989552), (2, 0.025009528), (3, 0.02577393), (4, 0.025160346)]"
177,1.0,0.9632,"[(1, 0.9631727)]"
178,1.0,0.9894,"[(1, 0.98942906)]"
179,1.0,0.9544,"[(0, 0.011482167), (1, 0.95437497), (2, 0.01122175), (3, 0.011729098), (4, 0.011191987)]"
180,1.0,0.9325,"[(0, 0.016736297), (1, 0.93248004), (2, 0.016858296), (3, 0.017127482), (4, 0.01679792)]"
181,1.0,0.9854,"[(1, 0.98539793)]"
182,1.0,0.9893,"[(1, 0.98932004)]"
183,1.0,0.9927,"[(1, 0.9926971)]"
184,1.0,0.9628,"[(1, 0.9627974)]"
185,1.0,0.9745,"[(1, 0.9745038)]"
186,1.0,0.9873,"[(1, 0.9872767)]"
187,1.0,0.9907,"[(1, 0.9906694)]"
188,1.0,0.9951,"[(1, 0.9951434)]"
