문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
12208,1.0,0.9954,"[(1, 0.9953664)]"
12209,1.0,0.9878,"[(1, 0.9878459)]"
12210,1.0,0.9584,"[(1, 0.95836735), (4, 0.027662413)]"
12211,1.0,0.9887,"[(1, 0.9887428)]"
12212,1.0,0.9878,"[(1, 0.98778236)]"
12213,1.0,0.9911,"[(1, 0.9910862)]"
12214,1.0,0.957,"[(0, 0.010858769), (1, 0.957023), (2, 0.010675796), (3, 0.010910261), (4, 0.010532187)]"
12215,1.0,0.9567,"[(0, 0.010585062), (1, 0.95674855), (2, 0.010765388), (3, 0.010919927), (4, 0.010981103)]"
12216,1.0,0.9838,"[(1, 0.9838319)]"
12217,1.0,0.9881,"[(1, 0.98806036)]"
12218,1.0,0.9815,"[(1, 0.98149663)]"
12219,1.0,0.7873,"[(1, 0.78728056), (3, 0.20096414)]"
12220,1.0,0.9873,"[(1, 0.98732394)]"
12221,1.0,0.9887,"[(1, 0.98874974)]"
12222,1.0,0.9874,"[(1, 0.9873688)]"
12223,1.0,0.982,"[(1, 0.9819946)]"
12224,1.0,0.9753,"[(1, 0.9752837)]"
12225,1.0,0.8152,"[(1, 0.81517535), (3, 0.17163168)]"
12226,1.0,0.9912,"[(1, 0.9911704)]"
12227,1.0,0.9882,"[(1, 0.98823583)]"
12228,1.0,0.9834,"[(1, 0.9834464)]"
12229,1.0,0.9881,"[(1, 0.98808044)]"
12230,1.0,0.9661,"[(1, 0.9661285)]"
12231,1.0,0.9918,"[(1, 0.9917987)]"
12232,1.0,0.9932,"[(1, 0.9931728)]"
12233,1.0,0.9944,"[(1, 0.9943989)]"
12234,1.0,0.9777,"[(1, 0.97771543), (4, 0.014948096)]"
12235,1.0,0.9897,"[(1, 0.98969406)]"
12236,1.0,0.8138,"[(0, 0.067985095), (1, 0.81380403), (3, 0.11131983)]"
12237,1.0,0.9897,"[(1, 0.9897455)]"
12238,1.0,0.9858,"[(1, 0.985849)]"
12239,1.0,0.9615,"[(1, 0.9615192)]"
12240,1.0,0.985,"[(1, 0.9849831)]"
12241,1.0,0.9843,"[(1, 0.9842864)]"
12242,1.0,0.9929,"[(1, 0.9928949)]"
12243,1.0,0.9918,"[(1, 0.99178493)]"
12244,1.0,0.9786,"[(1, 0.97862065)]"
12245,1.0,0.9884,"[(1, 0.98840505)]"
12246,1.0,0.9788,"[(1, 0.9787674)]"
12247,1.0,0.9496,"[(1, 0.9495694), (4, 0.042780504)]"
12248,1.0,0.9908,"[(1, 0.9907844)]"
12249,1.0,0.9871,"[(1, 0.98711437)]"
12250,1.0,0.9919,"[(1, 0.99189)]"
12251,1.0,0.9965,"[(1, 0.99654484)]"
12252,1.0,0.988,"[(1, 0.98799276)]"
12253,1.0,0.9845,"[(1, 0.9844888)]"
12254,1.0,0.9884,"[(1, 0.988369)]"
12255,1.0,0.9823,"[(1, 0.9823435)]"
12256,1.0,0.9823,"[(1, 0.9823188)]"
12257,1.0,0.9767,"[(1, 0.9767235)]"
12258,1.0,0.993,"[(1, 0.99296236)]"
12259,1.0,0.9614,"[(1, 0.9614462)]"
12260,1.0,0.9948,"[(1, 0.9948094)]"
12261,1.0,0.9881,"[(1, 0.9880986)]"
12262,1.0,0.9767,"[(1, 0.9767047)]"
12263,1.0,0.9927,"[(1, 0.99271315)]"
12264,1.0,0.9424,"[(0, 0.014452086), (1, 0.9423949), (2, 0.014375062), (3, 0.014384713), (4, 0.014393183)]"
12265,1.0,0.9865,"[(1, 0.98648876)]"
12266,1.0,0.9902,"[(1, 0.99023587)]"
12267,1.0,0.9802,"[(1, 0.98016155)]"
12268,1.0,0.9812,"[(1, 0.98119295)]"
12269,1.0,0.9846,"[(1, 0.98463017)]"
12270,1.0,0.9641,"[(1, 0.9641328), (3, 0.026915254)]"
12271,1.0,0.9929,"[(1, 0.99294204)]"
12272,1.0,0.5605,"[(1, 0.560483), (3, 0.42782632)]"
12273,1.0,0.9711,"[(1, 0.9711011), (4, 0.023668189)]"
12274,1.0,0.9841,"[(1, 0.984059)]"
12275,1.0,0.8981,"[(0, 0.025659243), (1, 0.89805585), (2, 0.025067585), (3, 0.025983064), (4, 0.02523426)]"
12276,1.0,0.9902,"[(1, 0.9902435)]"
12277,1.0,0.9689,"[(1, 0.9689405)]"
12278,1.0,0.9838,"[(1, 0.98376757)]"
12279,1.0,0.9849,"[(1, 0.9849312)]"
12280,1.0,0.9963,"[(1, 0.99626404)]"
12281,1.0,0.9889,"[(1, 0.98890203)]"
12282,1.0,0.9919,"[(1, 0.9918953)]"
12283,1.0,0.9758,"[(1, 0.9758433)]"
12284,1.0,0.9847,"[(1, 0.9846988)]"
12285,1.0,0.9848,"[(1, 0.98480535)]"
12286,1.0,0.9631,"[(1, 0.9631207)]"
12287,1.0,0.9921,"[(1, 0.99211407)]"
12288,1.0,0.9816,"[(1, 0.9815508)]"
12289,1.0,0.9883,"[(1, 0.9882563)]"
12290,1.0,0.8755,"[(1, 0.8754692), (3, 0.111020364)]"
12291,1.0,0.9841,"[(1, 0.9840851)]"
12292,1.0,0.8862,"[(1, 0.8861947), (3, 0.09813721)]"
12293,1.0,0.9791,"[(1, 0.9790937)]"
12294,1.0,0.9924,"[(1, 0.99241835)]"
12295,1.0,0.985,"[(1, 0.9849692)]"
12296,1.0,0.9939,"[(1, 0.9939359)]"
12297,1.0,0.9927,"[(1, 0.9927042)]"
12298,1.0,0.9808,"[(1, 0.9807613)]"
12299,1.0,0.9758,"[(1, 0.97582865)]"
12300,1.0,0.9648,"[(1, 0.96480435)]"
12301,1.0,0.9802,"[(1, 0.98021215)]"
12302,1.0,0.9954,"[(1, 0.9953595)]"
12303,1.0,0.986,"[(1, 0.98598033)]"
12304,1.0,0.9823,"[(1, 0.9822548)]"
12305,1.0,0.9823,"[(1, 0.98230237)]"
12306,1.0,0.904,"[(1, 0.90400356), (4, 0.08037619)]"
12307,1.0,0.9525,"[(0, 0.011854578), (1, 0.9525152), (2, 0.011866752), (3, 0.0119322715), (4, 0.011831208)]"
12308,1.0,0.9974,"[(1, 0.9973506)]"
12309,1.0,0.5942,"[(0, 0.102201946), (1, 0.5941549), (2, 0.10011682), (3, 0.101989925), (4, 0.10153644)]"
12310,1.0,0.9871,"[(1, 0.98712736)]"
12311,1.0,0.9756,"[(0, 0.020910656), (1, 0.97564876)]"
12312,1.0,0.9887,"[(1, 0.98869205)]"
12313,1.0,0.9933,"[(1, 0.9933351)]"
12314,1.0,0.9782,"[(1, 0.9781528)]"
12315,1.0,0.9614,"[(1, 0.9613999)]"
12316,1.0,0.9803,"[(1, 0.98027897)]"
12317,1.0,0.9921,"[(1, 0.9921244)]"
12318,1.0,0.9754,"[(1, 0.9754183)]"
12319,1.0,0.9917,"[(1, 0.9916733)]"
12320,1.0,0.9912,"[(1, 0.9912461)]"
12321,1.0,0.9919,"[(1, 0.99190974)]"
12322,1.0,0.9947,"[(1, 0.99469525)]"
12323,1.0,0.9787,"[(1, 0.97871107)]"
12324,1.0,0.9298,"[(1, 0.9297786), (3, 0.064704135)]"
12325,1.0,0.9699,"[(1, 0.96994156)]"
12326,1.0,0.99,"[(1, 0.9899896)]"
12327,1.0,0.971,"[(1, 0.9709982)]"
12328,1.0,0.9686,"[(1, 0.96862805), (4, 0.022347754)]"
12329,1.0,0.9892,"[(1, 0.9891998)]"
12330,1.0,0.973,"[(1, 0.9730342)]"
12331,1.0,0.993,"[(1, 0.9929583)]"
12332,1.0,0.9745,"[(1, 0.9745232)]"
12333,1.0,0.9889,"[(1, 0.988907)]"
12334,1.0,0.9278,"[(0, 0.031918015), (1, 0.9278025), (4, 0.03451528)]"
12335,1.0,0.9888,"[(1, 0.9888498)]"
12336,1.0,0.9857,"[(1, 0.98569286)]"
12337,1.0,0.9861,"[(1, 0.98607105)]"
12338,1.0,0.9938,"[(1, 0.99375904)]"
12339,1.0,0.9711,"[(1, 0.97110385)]"
12340,1.0,0.9827,"[(1, 0.9827282)]"
12341,1.0,0.9884,"[(1, 0.9883909)]"
12342,1.0,0.988,"[(1, 0.9880415)]"
12343,1.0,0.9814,"[(1, 0.9814316)]"
12344,1.0,0.9832,"[(1, 0.9832481)]"
12345,1.0,0.994,"[(1, 0.9939851)]"
12346,1.0,0.9708,"[(1, 0.9708008)]"
12347,1.0,0.9848,"[(1, 0.98476964)]"
12348,1.0,0.9854,"[(1, 0.9853794)]"
12349,1.0,0.9887,"[(1, 0.9886502)]"
12350,1.0,0.6859,"[(0, 0.2488168), (1, 0.68586665), (4, 0.055565584)]"
12351,1.0,0.9863,"[(1, 0.986286)]"
12352,1.0,0.9966,"[(1, 0.9966124)]"
12353,1.0,0.9782,"[(1, 0.9781664)]"
12354,1.0,0.9878,"[(1, 0.9878499)]"
12355,1.0,0.97,"[(1, 0.96999)]"
12356,1.0,0.9968,"[(1, 0.9968302)]"
12357,1.0,0.9797,"[(1, 0.97971934)]"
12358,1.0,0.9891,"[(1, 0.9891284)]"
12359,1.0,0.9919,"[(1, 0.9918897)]"
12360,1.0,0.9903,"[(1, 0.99033195)]"
12361,1.0,0.9845,"[(1, 0.98446095)]"
12362,1.0,0.9879,"[(1, 0.98790777)]"
12363,1.0,0.9743,"[(1, 0.97434115)]"
12364,1.0,0.9918,"[(1, 0.9918215)]"
12365,1.0,0.9899,"[(1, 0.989898)]"
12366,1.0,0.9549,"[(0, 0.011330243), (1, 0.9548625), (2, 0.011279058), (3, 0.011354152), (4, 0.011174028)]"
12367,1.0,0.9776,"[(1, 0.9775765)]"
12368,1.0,0.9858,"[(1, 0.9857602)]"
12369,1.0,0.978,"[(1, 0.9779978)]"
12370,1.0,0.9899,"[(1, 0.98987466)]"
12371,1.0,0.9861,"[(1, 0.9860631)]"
12372,1.0,0.9856,"[(1, 0.98555195)]"
12373,1.0,0.9799,"[(1, 0.97987473)]"
12374,1.0,0.9574,"[(0, 0.010736453), (1, 0.95737004), (2, 0.010661252), (3, 0.01061786), (4, 0.010614365)]"
12375,1.0,0.9773,"[(1, 0.9773212)]"
12376,1.0,0.994,"[(1, 0.99401456)]"
12377,1.0,0.9934,"[(1, 0.99342656)]"
12378,1.0,0.9837,"[(1, 0.98373735)]"
12379,1.0,0.9872,"[(1, 0.98719573)]"
12380,1.0,0.9976,"[(1, 0.9975819)]"
12381,1.0,0.9863,"[(1, 0.98629117)]"
12382,1.0,0.9744,"[(1, 0.9744232), (4, 0.018501552)]"
12383,1.0,0.984,"[(1, 0.98397326)]"
12384,1.0,0.9964,"[(1, 0.99644923)]"
12385,1.0,0.9943,"[(1, 0.9942683)]"
12386,1.0,0.9611,"[(1, 0.9611244)]"
12387,1.0,0.9898,"[(1, 0.98979455)]"
12388,1.0,0.9956,"[(1, 0.99560416)]"
12389,1.0,0.9508,"[(1, 0.95080686), (3, 0.043259393)]"
12390,1.0,0.989,"[(1, 0.98895365)]"
12391,1.0,0.9823,"[(1, 0.9822826)]"
12392,1.0,0.9916,"[(1, 0.9915617)]"
12393,1.0,0.9947,"[(1, 0.99472034)]"
12394,1.0,0.9922,"[(1, 0.9922025)]"
12395,1.0,0.9807,"[(1, 0.9806737)]"
12396,1.0,0.9919,"[(1, 0.991896)]"
12397,1.0,0.9954,"[(1, 0.99544364)]"
12398,1.0,0.9849,"[(1, 0.98491704)]"
12399,1.0,0.9855,"[(1, 0.98550415)]"
12400,1.0,0.978,"[(1, 0.9780477)]"
12401,1.0,0.9827,"[(1, 0.9826869)]"
12402,1.0,0.9768,"[(1, 0.9767905)]"
12403,1.0,0.9946,"[(1, 0.994585)]"
12404,1.0,0.9913,"[(1, 0.99128264)]"
12405,1.0,0.9952,"[(1, 0.99522316)]"
12406,1.0,0.9868,"[(1, 0.9868074)]"
12407,1.0,0.985,"[(1, 0.98497146)]"
12408,1.0,0.9676,"[(1, 0.96763784)]"
12409,1.0,0.9909,"[(1, 0.99092007)]"
12410,1.0,0.9645,"[(1, 0.9645053)]"
12411,1.0,0.9938,"[(1, 0.9937631)]"
12412,1.0,0.993,"[(1, 0.99301755)]"
12413,1.0,0.9942,"[(1, 0.994159)]"
12414,1.0,0.9823,"[(1, 0.9822913), (4, 0.012137568)]"
12415,1.0,0.9328,"[(0, 0.016872067), (1, 0.9328279), (2, 0.016825106), (3, 0.016805131), (4, 0.016669778)]"
12416,1.0,0.9937,"[(1, 0.99366796)]"
12417,1.0,0.8742,"[(1, 0.8741721), (3, 0.12136444)]"
12418,1.0,0.918,"[(0, 0.020541035), (1, 0.9179816), (2, 0.020786619), (3, 0.020582728), (4, 0.020108001)]"
12419,1.0,0.966,"[(1, 0.9660403)]"
12420,1.0,0.9768,"[(1, 0.97675824)]"
12421,1.0,0.9955,"[(1, 0.99545723)]"
12422,1.0,0.9527,"[(0, 0.011902118), (1, 0.9526942), (2, 0.011801984), (3, 0.011832259), (4, 0.011769489)]"
12423,1.0,0.986,"[(1, 0.98597586)]"
12424,1.0,0.595,"[(0, 0.1025797), (1, 0.5949977), (2, 0.10024688), (3, 0.10103747), (4, 0.10113824)]"
12425,1.0,0.9855,"[(1, 0.98545074)]"
12426,1.0,0.9124,"[(1, 0.91237617), (4, 0.060561474)]"
12427,1.0,0.9856,"[(1, 0.9855605)]"
12428,1.0,0.9069,"[(1, 0.90689355), (4, 0.077017695)]"
12429,1.0,0.9846,"[(1, 0.98463273)]"
12430,1.0,0.9812,"[(1, 0.9812219)]"
12431,1.0,0.9761,"[(1, 0.976109)]"
12432,1.0,0.9896,"[(1, 0.9896083)]"
12433,1.0,0.9677,"[(1, 0.96767205)]"
12434,1.0,0.9882,"[(1, 0.98824584)]"
12435,1.0,0.9918,"[(1, 0.99181885)]"
12436,1.0,0.9946,"[(1, 0.99461234)]"
12437,1.0,0.9933,"[(1, 0.9932788)]"
12438,1.0,0.9547,"[(0, 0.011442595), (1, 0.95465875), (2, 0.011227334), (3, 0.011449885), (4, 0.011221416)]"
12439,1.0,0.9665,"[(1, 0.9665494), (4, 0.02291076)]"
12440,1.0,0.6377,"[(0, 0.29454377), (1, 0.6376954), (2, 0.022728873), (3, 0.02266854), (4, 0.02236343)]"
12441,1.0,0.9895,"[(1, 0.9894773)]"
12442,1.0,0.9792,"[(1, 0.9792373)]"
12443,1.0,0.9858,"[(1, 0.9858042)]"
12444,1.0,0.9834,"[(1, 0.9833857)]"
12445,1.0,0.9936,"[(1, 0.9935945)]"
12446,1.0,0.9761,"[(1, 0.97609836)]"
12447,1.0,0.9913,"[(1, 0.9912698)]"
12448,1.0,0.983,"[(1, 0.9829809)]"
12449,1.0,0.9926,"[(1, 0.9926498)]"
12450,1.0,0.9867,"[(1, 0.9867139)]"
12451,1.0,0.9923,"[(1, 0.99226624)]"
12452,1.0,0.9676,"[(1, 0.9676246)]"
12453,1.0,0.9556,"[(1, 0.95560217), (4, 0.03012941)]"
12454,1.0,0.9841,"[(1, 0.98411584)]"
12455,1.0,0.9847,"[(1, 0.98467565)]"
12456,1.0,0.9883,"[(1, 0.9882704)]"
12457,1.0,0.8693,"[(0, 0.12457071), (1, 0.8693026)]"
12458,1.0,0.9919,"[(1, 0.99185777)]"
12459,1.0,0.9002,"[(1, 0.90017116), (3, 0.0922147)]"
12460,1.0,0.9826,"[(1, 0.9825632)]"
12461,1.0,0.9262,"[(0, 0.018329464), (1, 0.92622876), (2, 0.018442439), (3, 0.018409805), (4, 0.018589495)]"
12462,1.0,0.7671,"[(0, 0.21328355), (1, 0.7670666)]"
12463,1.0,0.99,"[(1, 0.99002403)]"
12464,1.0,0.9806,"[(1, 0.98059535)]"
12465,1.0,0.9731,"[(1, 0.973052)]"
12466,1.0,0.9923,"[(1, 0.99234575)]"
12467,1.0,0.9912,"[(1, 0.9911914)]"
12468,1.0,0.9899,"[(1, 0.9898675)]"
12469,1.0,0.9807,"[(1, 0.9806859)]"
12470,1.0,0.9921,"[(1, 0.9921198)]"
12471,1.0,0.7599,"[(0, 0.013390838), (1, 0.7599318), (2, 0.013503074), (3, 0.013548551), (4, 0.19962572)]"
12472,1.0,0.9594,"[(0, 0.010176604), (1, 0.95936906), (2, 0.01011296), (3, 0.010182823), (4, 0.010158504)]"
12473,1.0,0.9827,"[(1, 0.98268974)]"
12474,1.0,0.9892,"[(1, 0.98917735)]"
12475,1.0,0.9767,"[(1, 0.97666734)]"
12476,1.0,0.9855,"[(1, 0.9854923)]"
12477,1.0,0.9648,"[(1, 0.9647798)]"
12478,1.0,0.6569,"[(0, 0.2923334), (1, 0.65692115), (4, 0.0321825)]"
12479,1.0,0.9844,"[(1, 0.9844468)]"
12480,1.0,0.9574,"[(0, 0.0105945775), (1, 0.9574105), (2, 0.010582565), (3, 0.010850481), (4, 0.010561847)]"
12481,1.0,0.9523,"[(0, 0.0118889725), (1, 0.95225155), (2, 0.011993249), (3, 0.011876373), (4, 0.011989831)]"
12482,1.0,0.9737,"[(1, 0.9736896)]"
12483,1.0,0.9596,"[(0, 0.010105699), (1, 0.9595939), (2, 0.010176042), (3, 0.010105997), (4, 0.010018382)]"
12484,1.0,0.9898,"[(1, 0.989816)]"
12485,1.0,0.99,"[(1, 0.9900053)]"
12486,1.0,0.9676,"[(1, 0.9676394)]"
12487,1.0,0.9899,"[(1, 0.989872)]"
12488,1.0,0.9962,"[(1, 0.99619085)]"
12489,1.0,0.9545,"[(1, 0.9545451), (4, 0.033162955)]"
12490,1.0,0.9899,"[(1, 0.9898855)]"
12491,1.0,0.9938,"[(1, 0.99376595)]"
12492,1.0,0.9716,"[(1, 0.97155076), (4, 0.018770287)]"
12493,1.0,0.9729,"[(1, 0.9729284)]"
12494,1.0,0.9896,"[(1, 0.9896157)]"
12495,1.0,0.9941,"[(1, 0.9941235)]"
12496,1.0,0.9853,"[(1, 0.9852936)]"
12497,1.0,0.9895,"[(1, 0.9894634)]"
12498,1.0,0.9738,"[(1, 0.9738146)]"
12499,1.0,0.9883,"[(1, 0.98829)]"
12500,1.0,0.9807,"[(1, 0.98069453)]"
12501,1.0,0.9892,"[(1, 0.9892214)]"
12502,1.0,0.9787,"[(1, 0.97870636)]"
12503,1.0,0.9941,"[(1, 0.994077)]"
12504,1.0,0.9905,"[(1, 0.9905454)]"
12505,1.0,0.9869,"[(1, 0.986853)]"
12506,1.0,0.9816,"[(1, 0.98161256)]"
12507,1.0,0.9657,"[(1, 0.965705)]"
12508,1.0,0.9359,"[(0, 0.05637216), (1, 0.9359327)]"
12509,1.0,0.978,"[(1, 0.978023)]"
12510,1.0,0.9778,"[(1, 0.97780687), (4, 0.015833577)]"
12511,1.0,0.9762,"[(1, 0.9761879)]"
12512,1.0,0.9919,"[(1, 0.99192053)]"
12513,1.0,0.9865,"[(1, 0.98648924)]"
12514,1.0,0.9899,"[(1, 0.98986673)]"
12515,1.0,0.9697,"[(1, 0.9697395)]"
12516,1.0,0.9895,"[(1, 0.98946667)]"
12517,1.0,0.9594,"[(0, 0.010127704), (1, 0.9593878), (2, 0.010146957), (3, 0.010178776), (4, 0.010158757)]"
12518,1.0,0.9152,"[(1, 0.9151683), (3, 0.0745479)]"
12519,1.0,0.9938,"[(1, 0.99383235)]"
12520,1.0,0.9947,"[(1, 0.99467015)]"
12521,1.0,0.9909,"[(1, 0.9908539)]"
12522,1.0,0.9933,"[(1, 0.9933097)]"
12523,1.0,0.9934,"[(1, 0.9933865)]"
12524,1.0,0.9852,"[(1, 0.9851967)]"
12525,1.0,0.9852,"[(1, 0.985234)]"
12526,1.0,0.981,"[(1, 0.98103243)]"
12527,1.0,0.9862,"[(1, 0.9862242)]"
12528,1.0,0.9895,"[(1, 0.98948926)]"
12529,1.0,0.9944,"[(1, 0.99442)]"
12530,1.0,0.9838,"[(1, 0.9837662)]"
12531,1.0,0.9792,"[(1, 0.9791989)]"
12532,1.0,0.9769,"[(1, 0.97693473)]"
12533,1.0,0.9869,"[(1, 0.9868935)]"
12534,1.0,0.9931,"[(1, 0.99308485)]"
12535,1.0,0.8082,"[(0, 0.17967264), (1, 0.8081584)]"
12536,1.0,0.8369,"[(1, 0.8368758), (3, 0.14717264)]"
12537,1.0,0.9855,"[(1, 0.9855061)]"
12538,1.0,0.9766,"[(1, 0.97664785)]"
12539,1.0,0.9903,"[(1, 0.99028534)]"
12540,1.0,0.9887,"[(1, 0.9887097)]"
12541,1.0,0.683,"[(0, 0.3089052), (1, 0.6829778)]"
12542,1.0,0.9881,"[(1, 0.98806864)]"
12543,1.0,0.9768,"[(1, 0.9768278)]"
12544,1.0,0.9615,"[(1, 0.9614785)]"
12545,1.0,0.9797,"[(1, 0.9797188)]"
12546,1.0,0.9835,"[(1, 0.9835251)]"
12547,1.0,0.9834,"[(1, 0.98336387)]"
12548,1.0,0.9964,"[(1, 0.9964368)]"
12549,1.0,0.9816,"[(1, 0.9815576)]"
12550,1.0,0.9955,"[(1, 0.99554133)]"
12551,1.0,0.9824,"[(1, 0.98244995)]"
12552,1.0,0.9016,"[(1, 0.9016385), (3, 0.08044279)]"
12553,1.0,0.9705,"[(1, 0.97052455), (3, 0.021012964)]"
12554,1.0,0.9919,"[(1, 0.991899)]"
12555,1.0,0.9576,"[(0, 0.010610492), (1, 0.9575671), (2, 0.010560473), (3, 0.010706457), (4, 0.010555427)]"
12556,1.0,0.9896,"[(1, 0.9895709)]"
12557,1.0,0.9932,"[(1, 0.9932042)]"
12558,1.0,0.9801,"[(1, 0.98013204)]"
12559,1.0,0.9781,"[(1, 0.97809994), (4, 0.014097717)]"
12560,1.0,0.9873,"[(1, 0.987281)]"
12561,1.0,0.9939,"[(1, 0.9938904)]"
12562,1.0,0.9846,"[(1, 0.984613)]"
12563,1.0,0.9873,"[(1, 0.9873071)]"
12564,1.0,0.9951,"[(1, 0.9950768)]"
12565,1.0,0.9857,"[(1, 0.9857428)]"
12566,1.0,0.9913,"[(1, 0.9912927)]"
12567,1.0,0.9338,"[(0, 0.052231446), (1, 0.9338284)]"
12568,1.0,0.898,"[(0, 0.025262773), (1, 0.89798003), (2, 0.02522071), (3, 0.0255013), (4, 0.026035191)]"
12569,1.0,0.9688,"[(1, 0.96879554)]"
12570,1.0,0.9785,"[(1, 0.97849804)]"
12571,1.0,0.9849,"[(1, 0.98485476)]"
12572,1.0,0.9775,"[(1, 0.97754353)]"
12573,1.0,0.9888,"[(1, 0.9887583)]"
12574,1.0,0.9492,"[(1, 0.9491544), (4, 0.037808016)]"
12575,1.0,0.9838,"[(1, 0.9837986)]"
12576,1.0,0.8267,"[(0, 0.15833634), (1, 0.8267084)]"
12577,1.0,0.9753,"[(1, 0.9752892)]"
12578,1.0,0.9893,"[(1, 0.98929816)]"
12579,1.0,0.9908,"[(1, 0.9908347)]"
12580,1.0,0.9855,"[(1, 0.9855458)]"
12581,1.0,0.9856,"[(1, 0.98557484)]"
12582,1.0,0.9931,"[(1, 0.99313354)]"
12583,4.0,0.599,"[(0, 0.10004186), (1, 0.10046032), (2, 0.10000193), (3, 0.10046604), (4, 0.5990299)]"
12584,1.0,0.9355,"[(1, 0.93554336), (3, 0.054304592)]"
12585,1.0,0.9547,"[(0, 0.011212064), (1, 0.9547081), (2, 0.011298844), (3, 0.011237733), (4, 0.0115432525)]"
12586,1.0,0.9807,"[(1, 0.98074096)]"
12587,1.0,0.9787,"[(1, 0.978725)]"
12588,1.0,0.9832,"[(1, 0.9831531)]"
12589,1.0,0.9873,"[(1, 0.98730326)]"
12590,1.0,0.949,"[(0, 0.01774171), (1, 0.94897866), (2, 0.028685933)]"
12591,1.0,0.9881,"[(1, 0.9880876)]"
12592,1.0,0.9411,"[(0, 0.014470595), (1, 0.9410873), (2, 0.014351806), (3, 0.0145894885), (4, 0.015500818)]"
12593,1.0,0.9469,"[(1, 0.9469314), (4, 0.038277905)]"
12594,1.0,0.9592,"[(1, 0.9591825), (3, 0.027680593)]"
12595,1.0,0.99,"[(1, 0.98999786)]"
12596,1.0,0.9896,"[(1, 0.98956937)]"
12597,1.0,0.9155,"[(1, 0.9155312), (3, 0.07448629)]"
12598,1.0,0.9525,"[(0, 0.011970843), (1, 0.9524802), (2, 0.011821128), (3, 0.01186749), (4, 0.011860324)]"
12599,1.0,0.991,"[(1, 0.991028)]"
12600,1.0,0.9928,"[(1, 0.99275494)]"
12601,1.0,0.993,"[(1, 0.9929906)]"
12602,1.0,0.9893,"[(1, 0.9893336)]"
12603,1.0,0.9921,"[(1, 0.9920655)]"
12604,1.0,0.9847,"[(1, 0.9847049)]"
12605,1.0,0.9631,"[(1, 0.96314526)]"
12606,1.0,0.9801,"[(1, 0.98014134)]"
12607,1.0,0.9925,"[(1, 0.99252504)]"
12608,1.0,0.9589,"[(1, 0.95888036), (4, 0.030232547)]"
12609,1.0,0.9899,"[(1, 0.9899355)]"
12610,1.0,0.9887,"[(1, 0.9886533)]"
12611,1.0,0.9911,"[(1, 0.9910907)]"
12612,1.0,0.9875,"[(1, 0.98753285)]"
12613,1.0,0.9812,"[(1, 0.98122066)]"
12614,1.0,0.9934,"[(1, 0.99337214)]"
12615,1.0,0.9551,"[(0, 0.011262121), (1, 0.95508945), (2, 0.011168446), (3, 0.011220837), (4, 0.01125915)]"
12616,1.0,0.9546,"[(0, 0.011374116), (1, 0.95464134), (2, 0.011483123), (3, 0.011341093), (4, 0.011160374)]"
12617,1.0,0.9924,"[(1, 0.99236476)]"
12618,1.0,0.9956,"[(1, 0.9955675)]"
12619,1.0,0.9877,"[(1, 0.987736)]"
12620,1.0,0.9893,"[(1, 0.9893212)]"
12621,1.0,0.994,"[(1, 0.994018)]"
12622,1.0,0.9863,"[(1, 0.9862714)]"
12623,1.0,0.6375,"[(0, 0.34856227), (1, 0.6375466)]"
12624,1.0,0.9524,"[(0, 0.011868481), (1, 0.9524142), (2, 0.0119403), (3, 0.011955176), (4, 0.011821798)]"
12625,1.0,0.9911,"[(1, 0.99113715)]"
12626,1.0,0.9809,"[(1, 0.9808896), (2, 0.014150061)]"
12627,1.0,0.998,"[(1, 0.99802953)]"
12628,1.0,0.994,"[(1, 0.9939604)]"
12629,1.0,0.9917,"[(1, 0.99173325)]"
12630,1.0,0.9955,"[(1, 0.9954904)]"
12631,1.0,0.9871,"[(1, 0.98706967)]"
12632,1.0,0.9775,"[(1, 0.9775054)]"
12633,1.0,0.9933,"[(1, 0.99330354)]"
12634,1.0,0.9907,"[(1, 0.99074244)]"
12635,1.0,0.8832,"[(1, 0.88321906), (3, 0.08849328), (4, 0.02319617)]"
12636,1.0,0.915,"[(0, 0.07061249), (1, 0.9149974)]"
12637,1.0,0.986,"[(1, 0.98601484)]"
12638,1.0,0.9874,"[(1, 0.98736334)]"
12639,1.0,0.9852,"[(1, 0.985218)]"
12640,1.0,0.9921,"[(1, 0.99205095)]"
12641,1.0,0.9938,"[(1, 0.993833)]"
12642,1.0,0.9428,"[(1, 0.9427789), (3, 0.044232268)]"
12643,1.0,0.986,"[(1, 0.98600584)]"
12644,1.0,0.9857,"[(1, 0.985749)]"
12645,1.0,0.9938,"[(1, 0.9937811)]"
12646,1.0,0.9938,"[(1, 0.9938055)]"
12647,1.0,0.9841,"[(1, 0.98413986)]"
12648,1.0,0.9849,"[(1, 0.9849061), (2, 0.010622864)]"
12649,1.0,0.9904,"[(1, 0.99035853)]"
12650,1.0,0.9921,"[(1, 0.99210274)]"
12651,1.0,0.8353,"[(0, 0.040635463), (1, 0.8353304), (2, 0.040519685), (3, 0.040201146), (4, 0.04331329)]"
12652,1.0,0.991,"[(1, 0.99101263)]"
12653,1.0,0.993,"[(1, 0.9930062)]"
12654,1.0,0.9917,"[(1, 0.9916903)]"
12655,1.0,0.9925,"[(1, 0.9925034)]"
12656,1.0,0.9918,"[(1, 0.9918098)]"
12657,1.0,0.9785,"[(1, 0.9784756)]"
12658,1.0,0.9876,"[(1, 0.9875561)]"
